sector,business_name,week,engagement_rate,engagement,posts_count,likes_count,comments_count,views_count,rolling_engagement_rate,business_growth,trend_class,n_states,final_trend_class
Cafes/Restaurants,Vanilla Palestine,2025-03-03/2025-03-09,0.0069712230215827,969.0,1,963.0,6.0,0.0,0.0069712230215827,0.0,stable,3,inconsistent
Cafes/Restaurants,Vanilla Palestine,2025-03-10/2025-03-16,0.0003453237410071,48.0,1,44.0,4.0,0.0,0.0036582733812949002,-0.47523219814242146,declining,3,inconsistent
Cafes/Restaurants,Vanilla Palestine,2025-03-17/2025-03-23,3.597122302158273e-05,5.0,1,4.0,1.0,0.0,0.0024508393285371274,-0.33005571943625045,declining,3,inconsistent
Cafes/Restaurants,Vanilla Palestine,2025-04-21/2025-04-27,0.0093525179856115,1300.0,1,1300.0,0.0,0.0,0.0032446043165467275,0.3238747553816135,improving,3,inconsistent
Cafes/Restaurants,Vanilla Palestine,2025-04-28/2025-05-04,0.0086546762589928,1203.0,1,1200.0,3.0,0.0,0.0060143884892086275,0.8536585365853842,improving,3,inconsistent
Cafes/Restaurants,Vanilla Palestine,2025-06-02/2025-06-08,0.008075539568345249,1122.5,2,2200.0,45.0,0.0,0.008694244604316516,0.44557416267942207,improving,3,inconsistent
Cafes/Restaurants,Vanilla Palestine,2025-06-23/2025-06-29,0.0042661870503597,593.0,1,580.0,13.0,0.0,0.006998800959232583,-0.19500758516066818,declining,3,inconsistent
Cafes/Restaurants,Vanilla Palestine,2025-11-03/2025-11-09,0.0003165467625899,44.0,1,42.0,2.0,0.0,0.004219424460431617,-0.3971218091485379,declining,3,inconsistent
Cafes/Restaurants,Vanilla Palestine,2025-12-01/2025-12-07,0.0037625899280575,523.0,1,515.0,8.0,0.0,0.0027817745803357004,-0.34072179596476415,declining,3,inconsistent
Cafes/Restaurants,Vanilla Palestine,2026-02-16/2026-02-22,0.0072374100719424,1006.0,1,1000.0,6.0,0.0,0.0037721822541966,0.3560344827586206,improving,3,inconsistent
Cafes/Restaurants,Vanilla Palestine,2026-03-16/2026-03-22,0.0019964028776978,277.5,2,550.0,5.0,0.0,0.0043321342925659,0.14844246662428517,improving,3,inconsistent
Cafes/Restaurants,Vanilla Palestine,2026-03-23/2026-03-29,0.0007841726618705,109.0,1,109.0,0.0,355000.0,0.003339328537170233,-0.22917243288126077,declining,3,inconsistent
Cafes/Restaurants,Vanilla Palestine,2026-03-30/2026-04-05,0.008719424460431599,1212.0,2,2411.0,13.0,150000.0,0.0038333333333332997,0.14793536804308838,improving,3,inconsistent
Cafes/Restaurants,Vanilla Palestine,2026-04-06/2026-04-12,0.010805755395683401,1502.0,3,4500.0,6.0,221000.0,0.006769784172661834,0.7660306537378851,improving,3,inconsistent
