source_row,view_rate,view_rate_bin,hashtags,transaction,hashtag_count
375,2.675438596491228,high_view_rate,hashtag=عيد_الأضحى,hashtag=عيد_الأضحى|high_view_rate,1
379,0.29135964912280704,avg_view_rate,hashtag=مزاج_الشرقي,hashtag=مزاج_الشرقي|avg_view_rate,1
380,0.5614035087719298,avg_view_rate,hashtag=p=4,hashtag=p=4|avg_view_rate,1
381,0.6885964912280702,high_view_rate,hashtag=بوفيه_إفطار|hashtag=مزاج_الشرقي|hashtag=p=4,hashtag=بوفيه_إفطار|hashtag=مزاج_الشرقي|hashtag=p=4|high_view_rate,3
383,0.2700877192982456,avg_view_rate,hashtag=مكس_المشاوي|hashtag=رمضان|hashtag=رمضان٢٠٢٣|hashtag=مشاوي|hashtag=مطاعم|hashtag=كابيتال_مول,hashtag=مكس_المشاوي|hashtag=رمضان|hashtag=رمضان٢٠٢٣|hashtag=مشاوي|hashtag=مطاعم|hashtag=كابيتال_مول|avg_view_rate,6
384,0.03276315789473684,low_view_rate,hashtag=فتة_غزاوية,hashtag=فتة_غزاوية|low_view_rate,1
385,0.18763157894736843,avg_view_rate,hashtag=كابيتال_مول،,hashtag=كابيتال_مول،|avg_view_rate,1
386,7.529215358931553,high_view_rate,hashtag=دجاج|hashtag=كنتاكي|hashtag=لذيذ|hashtag=يمي|hashtag=فلسطين|hashtag=رام_الله|hashtag=طولكرم|hashtag=جنين|hashtag=قلقيلية|hashtag=الخليل|hashtag=نابلس|hashtag=بيت_لحم|hashtag=حوارة|hashtag=اريحا|hashtag=توصيل|hashtag=palestine|hashtag=yummy|hashtag=delicious|hashtag=follow|hashtag=like|hashtag=delivery|hashtag=توصيل_طلبات,hashtag=دجاج|hashtag=كنتاكي|hashtag=لذيذ|hashtag=يمي|hashtag=فلسطين|hashtag=رام_الله|hashtag=طولكرم|hashtag=جنين|hashtag=قلقيلية|hashtag=الخليل|hashtag=نابلس|hashtag=بيت_لحم|hashtag=حوارة|hashtag=اريحا|hashtag=توصيل|hashtag=palestine|hashtag=yummy|hashtag=delicious|hashtag=follow|hashtag=like|hashtag=delivery|hashtag=توصيل_طلبات|high_view_rate,22
388,5.141903171953255,high_view_rate,hashtag=دجاج|hashtag=كنتاكي|hashtag=لذيذ|hashtag=يمي|hashtag=فلسطين|hashtag=رام_الله|hashtag=طولكرم|hashtag=جنين|hashtag=قلقيلية|hashtag=الخليل|hashtag=نابلس|hashtag=بيت_لحم|hashtag=حوارة|hashtag=اريحا|hashtag=توصيل|hashtag=palestine|hashtag=yummy|hashtag=delicious|hashtag=follow|hashtag=like|hashtag=delivery|hashtag=توصيل_طلبات,hashtag=دجاج|hashtag=كنتاكي|hashtag=لذيذ|hashtag=يمي|hashtag=فلسطين|hashtag=رام_الله|hashtag=طولكرم|hashtag=جنين|hashtag=قلقيلية|hashtag=الخليل|hashtag=نابلس|hashtag=بيت_لحم|hashtag=حوارة|hashtag=اريحا|hashtag=توصيل|hashtag=palestine|hashtag=yummy|hashtag=delicious|hashtag=follow|hashtag=like|hashtag=delivery|hashtag=توصيل_طلبات|high_view_rate,22
390,0.44908180300500833,avg_view_rate,hashtag=دجاج|hashtag=كنتاكي|hashtag=لذيذ|hashtag=يمي|hashtag=فلسطين|hashtag=رام_الله|hashtag=طولكرم|hashtag=جنين|hashtag=قلقيلية|hashtag=الخليل|hashtag=نابلس|hashtag=بيت_لحم|hashtag=حوارة|hashtag=اريحا|hashtag=توصيل|hashtag=palestine|hashtag=yummy|hashtag=delicious|hashtag=follow|hashtag=like|hashtag=delivery|hashtag=توصيل_طلبات,hashtag=دجاج|hashtag=كنتاكي|hashtag=لذيذ|hashtag=يمي|hashtag=فلسطين|hashtag=رام_الله|hashtag=طولكرم|hashtag=جنين|hashtag=قلقيلية|hashtag=الخليل|hashtag=نابلس|hashtag=بيت_لحم|hashtag=حوارة|hashtag=اريحا|hashtag=توصيل|hashtag=palestine|hashtag=yummy|hashtag=delicious|hashtag=follow|hashtag=like|hashtag=delivery|hashtag=توصيل_طلبات|avg_view_rate,22
