business_name,sector,followers_count,posts_count,engagement,engagement_rate,view_rate,comment_rate,score_engagement_only,score_balanced,score_sector_z,benchmark_score,business_percentile_rank,sector_avg_engagement,sector_avg_engagement_rate,best_post_type,best_post_type_engagement_rate
Mikkawi 1955,Fashion,55900.0,9,222.88888888888889,0.003987278870999755,4.718087855297157,2.186444046909163e-05,0.003987278870999755,1.4174243689127408,0.009465215867892895,1.4174243689127408,96.15384615384616,43.02713178294574,0.003118168846990835,reel,0.0031384765446857686
Moath Kahlout,Influencers,1100000.0,1,1090.0,0.000990909090909,0.0,1.0909090909090907e-05,0.000990909090909,0.0004976363636363182,-0.5754131394705009,0.0004976363636363182,5.88235294117647,68138.1375,0.012682563050239196,reel,0.012682563050239196
Motaz Azaiza,Influencers,15000000.0,20,63325.3,0.004221686666666645,0.16677666666666663,9.327666666665833e-05,0.004221686666666645,0.05216249866666664,-0.3073440059555871,0.05216249866666664,76.47058823529412,68138.1375,0.012682563050239196,reel,0.012682563050239196
Motaz Foundation,Influencers,15000000.0,10,14887.1,0.00099247333333329,0.04993999999999996,1.5946666666666668e-05,0.00099247333333329,0.015481425999999965,-0.5298841098502476,0.015481425999999965,58.82352941176471,68138.1375,0.012682563050239196,reel,0.012682563050239196
Noor Restaurant and Cafe,Cafes/Restaurants,44000.0,27,31.74074074074074,0.0009631986531986449,0.3334812794612795,3.057239057238822e-05,0.0009631986531986449,0.10053209764309763,-0.5734615713325112,0.10053209764309763,57.14285714285714,258.1578947368421,0.007875594842092663,reel,0.013209017873851984
Nour Alsaqa,Influencers,1100000.0,2,87075.0,0.0791590909090909,1.3063636363636364,0.0017045454545454,0.0791590909090909,0.43182954545454544,3.4141645204803726,0.43182954545454544,100.0,68138.1375,0.012682563050239196,reel,0.012682563050239196
Orgada Burgers,Cafes/Restaurants,163000.0,9,22.333333333333332,0.0001370143149284114,0.0301976823449216,1.9768234492160055e-05,0.0001370143149284114,0.009131765507839118,-0.6197984215242431,0.009131765507839118,21.428571428571427,258.1578947368421,0.007875594842092663,reel,0.013209017873851984
Pardo Cafe,Cafes/Restaurants,7400.0,3,65.33333333333333,0.008828828828828766,1.36990990990991,0.0,0.008828828828828766,0.41538738738738734,-0.17619799685875365,0.41538738738738734,78.57142857142857,258.1578947368421,0.007875594842092663,reel,0.013209017873851984
Plestia Alaqad,Influencers,1100000.0,1,10610.0,0.0096454545454545,0.3109090909090909,0.0001,0.0096454545454545,0.09811545454545453,-0.034383630066773134,0.09811545454545453,82.35294117647058,68138.1375,0.012682563050239196,reel,0.012682563050239196
Pulse Gym & Fitness,Gym,6746.0,16,55.4375,0.00821783278980132,1.0550604061666173,0.0001111769937740625,0.00821783278980132,0.32064927364364065,-0.2924503946794911,0.32064927364364065,66.66666666666666,123.71794871794872,0.010604898433911157,reel,0.010604898433911157
REXOS Café & Restaurant,Cafes/Restaurants,42000.0,25,261.08,0.0062161904761904455,0.05294285714285712,0.0005066666666666546,0.0062161904761904455,0.01909228571428569,-0.243735552441026,0.01909228571428569,35.714285714285715,258.1578947368421,0.007875594842092663,reel,0.013209017873851984
ROZAL,Fashion,76000.0,13,18.846153846153847,0.0002479757085020032,0.06232186234817808,2.0242914979750204e-05,0.0002479757085020032,0.018824595141700377,-0.5036075746795572,0.018824595141700377,30.76923076923077,43.02713178294574,0.003118168846990835,reel,0.0031384765446857686
Robian Restaurant,Cafes/Restaurants,6500.0,20,236.3,0.036353846153846105,93.26923076923077,0.00052307692307689,0.036353846153846105,27.999050769230767,2.4216482353771824,27.999050769230767,100.0,258.1578947368421,0.007875594842092663,reel,0.013209017873851984
Ronza Elegant,Fashion,14000.0,12,10.0,0.000714285714285675,0.03862499999999996,2.9761904761901187e-05,0.000714285714285675,0.011950595238095205,-0.4494177864315125,0.011950595238095205,26.923076923076923,43.02713178294574,0.003118168846990835,reel,0.0031384765446857686
Shamsboutique,Fashion,739.0,14,5.714285714285714,0.007732456988208,3.379663638121013,0.0008699014111734,0.007732456988208,1.0179393002126425,0.8382237901074929,1.0179393002126425,92.3076923076923,43.02713178294574,0.003118168846990835,reel,0.0031384765446857686
Shawerma w Mashawi Al Helou,Cafes/Restaurants,81000.0,20,155.0,0.0019232592592592409,0.2472969135802469,5.570370370368982e-05,0.0019232592592592409,0.07516184444444443,-0.5231919980161616,0.07516184444444443,42.857142857142854,258.1578947368421,0.007875594842092663,reel,0.013209017873851984
Supermarket 25st,Supermarkets,9636.0,8,39.5,0.004099211290992087,0.3231112494811125,0.0001037775010377625,0.004099211290992087,0.09900373599003734,-0.5194685054249498,0.09900373599003734,40.0,427.80392156862746,0.17565602391148546,reel,0.17565602391148546
The Tatreez Grove,Influencers,1100000.0,1,2469.0,0.0022445454545454,0.0,5.272727272727273e-05,0.0022445454545454,0.0011328181818181546,-0.5229235199223892,0.0011328181818181546,11.76470588235294,68138.1375,0.012682563050239196,reel,0.012682563050239196
Vanilla Palestine,Cafes/Restaurants,139000.0,29,781.1034482758621,0.005619449268171628,0.2799057305879434,3.423468122053927e-05,0.005619449268171628,0.08678829074671292,-0.34332405244554565,0.08678829074671292,50.0,258.1578947368421,0.007875594842092663,reel,0.013209017873851984
Venus Boutique / فينوس بوتيك,Fashion,131000.0,14,1.6428571428571428,1.2540894220283534e-05,0.12696837513631404,5.452562704471101e-07,1.2540894220283534e-05,0.038096892039258444,-0.5378106636193554,0.038096892039258444,50.0,43.02713178294574,0.003118168846990835,reel,0.0031384765446857686
Vienna Restaurant & Cafe,Cafes/Restaurants,1691.0,5,16.0,0.0094618568894145,0.5265523358959195,0.0007096392667060799,0.0094618568894145,0.16283855706682432,-0.04594814637547526,0.16283855706682432,64.28571428571429,258.1578947368421,0.007875594842092663,reel,0.013209017873851984
Wakeup coffee,Cafes/Restaurants,18000.0,22,2.227272727272727,0.00012373737373735656,0.028623737373737346,1.2626262626262121e-05,0.00012373737373735656,0.008651515151515134,-0.6215773466056413,0.008651515151515134,14.285714285714285,258.1578947368421,0.007875594842092663,reel,0.013209017873851984
